tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,ngay_dang,gia_vnd,dien_tich_m2,lien_he,mo_ta
"Cho thuê nhà MT đường Nguyễn Xuân Phụng, P.2, Q.6, DT 4 x 25m, nhà 5 tấm, giá 70 triệu/tháng",70 Triệu/tháng,100 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-nguyen-xuan-phung-p-2-q-6-dt-4-x-25m-nha-5-tam-gia-70-trieu-thang-1722844543.html,luachonnhadat.vn,2024-08-05,70000000,100,NA,NA
"Cho thuê nhà MT đường Số 57C, P. Tân Tạo, 5 x 20m, 3.5 tấm, giá 25tr/th. khu Tên Lửa Pouyuen",25 Triệu/tháng,100 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-57c-p-tan-tao-5-x-20m-3-5-tam-gia-25tr-th-khu-ten-lua-pouyuen.html,luachonnhadat.vn,2024-07-30,25000000,100,NA,NA
"Cho thuê nhà MT đường Số 22, P.11, Q.6, DT 4 x 20m, 4.5 tấm giá 23 triệu/tháng. khu Bình Phú",23 Triệu/tháng,80 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-22-p-11-q-6-dt-4-x-20m-4-5-tam-gia-23-trieu-thang-khu-binh-phu-1722050230.html,luachonnhadat.vn,2024-07-27,23000000,80,NA,NA
"Cho thuê nhà MT đường Tỉnh Lộ 10, P. Tân Tạo, 6 x 25m, 3.5 tấm, giá 43 triệu/tháng",43 Triệu/tháng,150 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-tinh-lo-10-p-tan-tao-6-x-25m-3-5-tam-gia-43-trieu-thang.html,luachonnhadat.vn,2024-07-27,43000000,150,NA,NA
"Cho thuê nhà MT đường Số 32, P. Bình Trị Đông B, 5 x 20m, 3.5 tấm, giá 30 triệu/tháng. gần Aeon Mall",30 Triệu/tháng,100 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-32-p-binh-tri-dong-b-5-x-20m-3-5-tam-gia-30-trieu-thang-gan-aeon-mall-1720594588.html,luachonnhadat.vn,2024-07-22,30000000,100,NA,NA
"Cho thuê nhà MT đường Tên Lửa, P. Bình Trị Đông B, 4.5 x 20m, 3.5 tấm, giá 44 triệu/tháng",44 Triệu/tháng,90 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-ten-lua-p-binh-tri-dong-b-4-5-x-20m-3-5-tam-gia-44-trieu-thang.html,luachonnhadat.vn,2024-07-09,44000000,90,NA,NA
"Cho thuê Shophouse tầng trệt CC Moonlight Park View đường Số 7, Bình Tân, 5.5 x 16m, 28 triệu/tháng",28 Triệu/tháng,88 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Shop house,thue,https://luachonnhadat.vn/nha-dat/cho-thue-shophouse-tang-tret-cc-moonlight-park-view-duong-so-7-binh-tan-5-5-x-16m-28-trieu-thang-1720408148.html,luachonnhadat.vn,2024-07-08,28000000,88,NA,NA
"Cho thuê mặt bằng góc 2 MT đường Số 1A, P. Bình Trị Đông B, 5 x 20m, giá 34 triệu/tháng",34 Triệu/tháng,100 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Mặt bằng,thue,https://luachonnhadat.vn/nha-dat/cho-thue-mat-bang-goc-2-mt-duong-so-1a-p-binh-tri-dong-b-5-x-20m-gia-34-trieu-thang-1719904302.html,luachonnhadat.vn,2024-07-02,34000000,100,NA,NA
"Cho thuê nhà MT đường Kinh Dương Vương, P. An Lạc, 4 x 19m, 3 tấm, giá 25 triệu/tháng",25 Triệu/tháng,76 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-kinh-duong-vuong-p-an-lac-4-x-19m-3-tam-gia-25-trieu-thang.html,luachonnhadat.vn,2024-07-02,25000000,76,NA,NA
"Cho thuê nhà MT đường Kinh Dương Vương, P. 13, Q. 6, DT 14 x 42m, cấp 4, giá 180 triệu/tháng",180 Triệu/tháng,588 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-kinh-duong-vuong-p-13-q-6-dt-14-x-42m-cap-4-gia-180-trieu-thang.html,luachonnhadat.vn,2024-06-28,180000000,588,NA,NA
"Cho thuê cặp đất MT đường Số 21, P. Bình Trị Đông B. DT 8 x 22.5m, giá 18 triệu/tháng. khu Tên Lửa",18 Triệu/tháng,180 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Đất,thue,https://luachonnhadat.vn/nha-dat/cho-thue-cap-dat-mt-duong-so-21-p-binh-tri-dong-b-dt-8-x-22-5m-gia-18-trieu-thang-khu-ten-lua-1719283295.html,luachonnhadat.vn,2024-06-25,18000000,180,NA,NA
"Cho thuê nhà hẻm 574 Kinh Dương Vương, P. Bình Trị Đông B, 5.5 x 27m, cấp 4, giá 22 triệu/tháng",22 Triệu/tháng,148 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-hem-574-kinh-duong-vuong-p-binh-tri-dong-b-5-5-x-27m-cap-4-gia-22-trieu-thang-1718870442.html,luachonnhadat.vn,2024-06-20,22000000,148,NA,NA
"Cho thuê nhà MT đường Số 7, P. An Lạc A, 4 x 15m, 2.5 tấm, giá 23 triệu/tháng. khu Tên Lửa",23 Triệu/tháng,60 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-7-p-an-lac-a-4-x-15m-2-5-tam-gia-23-trieu-thang-khu-ten-lua-1718676357.html,luachonnhadat.vn,2024-06-18,23000000,60,NA,NA
"Cho thuê đất Góc 3 MT đường Số 7, P. Bình Trị Đông B, 28 x 40m, giá 300 triệu/tháng. khu Tên Lửa",300 Triệu/tháng,1120 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Đất,thue,https://luachonnhadat.vn/nha-dat/cho-thue-dat-goc-3-mt-duong-so-7-p-binh-tri-dong-b-28-x-40m-gia-300-trieu-thang-khu-ten-lua-1718607165.html,luachonnhadat.vn,2024-06-17,300000000,1120,NA,NA
"Cho thuê nhà MT đường Số 24A, P. Bình Trị Đông B, 4 x 20m, 3 tấm, giá 20 triệu/tháng. khu Tên Lửa",20 Triệu/tháng,80 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-24a-p-binh-tri-dong-b-4-x-20m-3-tam-gia-20-trieu-thang-khu-ten-lua-1718354633.html,luachonnhadat.vn,2024-06-14,20000000,80,NA,NA
"Cho thuê nhà MT đường Trần Văn Giàu, P. Bình Trị Đông B, 5 x 20m, 3.5 tấm, giá 30 triệu/tháng.",30 Triệu/tháng,100 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-tran-van-giau-p-binh-tri-dong-b-5-x-20m-3-5-tam-gia-30-trieu-thang--1718267846.html,luachonnhadat.vn,2024-06-13,30000000,100,NA,NA
"Cho thuê nhà MT đường An Dương Vương, P.13, Q.6, nhà 2.5 tấm, DT 4 x 20m, giá 19 triệu/tháng",19 Triệu/tháng,80 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-an-duong-vuong-p-13-q-6-nha-2-5-tam-dt-4-x-20m-gia-19-trieu-thang-1718182729.html,luachonnhadat.vn,2024-06-12,19000000,80,NA,NA
"Cho thuê nhà MT đường Tên Lửa, P. Bình Trị Đông B, 4.5x20m, 3.5 tấm, giá 30 triệu/tháng. khu Tên Lửa",30 Triệu/tháng,90 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-ten-lua-p-binh-tri-dong-b-4-5x20m-3-5-tam-gia-30-trieu-thang-khu-ten-lua-1718075226.html,luachonnhadat.vn,2024-06-11,30000000,90,NA,NA
"Cho thuê đất MT đường Số 36, P. Bình Trị Đông B, 11 x 18m, giá 15 triệu/tháng. khu Tên Lửa",15 Triệu/tháng,198 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Đất,thue,https://luachonnhadat.vn/nha-dat/cho-thue-dat-mt-duong-so-36-p-binh-tri-dong-b-11-x-18m-gia-15-trieu-thang-khu-ten-lua-1718001750.html,luachonnhadat.vn,2024-06-10,15000000,198,NA,NA
"Cho thuê nhà Góc 2 MT đường Số 18, P. Bình Trị Đông B, 6 x 20m, 3.5 tấm, giá 38tr/tháng. khu Tên Lửa",38 Triệu/tháng,120 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-goc-2-mt-duong-so-18-p-binh-tri-dong-b-6-x-20m-3-5-tam-gia-38tr-thang-khu-ten-lua.html,luachonnhadat.vn,2024-06-10,38000000,120,NA,NA
"Cho thuê đất MT đường Số 8, P. Bình Trị Đông B, 10 x 25m, giá 25 triệu/tháng. khu Tên Lửa",25 Triệu/tháng,250 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Đất,thue,https://luachonnhadat.vn/nha-dat/cho-thue-dat-mt-duong-so-8-p-binh-tri-dong-b-10-x-25m-gia-25-trieu-thang-khu-ten-lua.html,luachonnhadat.vn,2024-06-05,25000000,250,NA,NA
"Cho thuê đất Góc 2 MT đường Số 3C, P. An Lạc A, 6 x 21m, giá 20 triệu/tháng. khu Tên Lửa",20 Triệu/tháng,126 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Đất,thue,https://luachonnhadat.vn/nha-dat/cho-thue-dat-goc-2-mt-duong-so-3c-p-an-lac-a-6-x-21m-gia-20-trieu-thang-khu-ten-lua-1717486020.html,luachonnhadat.vn,2024-06-04,20000000,126,NA,NA
"Cho thuê nhà MT lô J đường Đoàn Phú Tứ, P. An Lạc A, 4 x 20m, cấp 4, giá 8 triệu/tháng",8 Triệu/tháng,80 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-lo-j-duong-doan-phu-tu-p-an-lac-a-4-x-20m-cap-4-gia-8-trieu-thang-1717401629.html,luachonnhadat.vn,2024-06-03,8000000,80,NA,NA
"Cho thuê nhà MT đường Võ Văn Kiệt, P. An Lạc, 8 x 11m, 1 lầu, giá 25 triệu/tháng",25 Triệu/tháng,88 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-vo-van-kiet-p-an-lac-8-x-11m-1-lau-gia-25-trieu-thang.html,luachonnhadat.vn,2024-05-27,25000000,88,NA,NA
"Cho thuê nhà MT đường Số 2, P.13, Q.6, nhà 2 tấm, 4 x 12m, giá 10tr/tháng. Cư xá Rada",10 Triệu/căn,48 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-2-p-13-q-6-nha-2-tam-4-x-12m-gia-10tr-thang-cu-xa-rada.html,luachonnhadat.vn,2024-05-27,10000000,48,NA,NA
"Cho thuê nhà MT đường Nguyễn Thức Đường, P. An Lạc A, 4 x 20m, 3.5 tấm, giá 25 triệu/tháng",25 Triệu/tháng,80 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-nguyen-thuc-duong-p-an-lac-a-4-x-20m-3-5-tam-gia-25-trieu-thang.html,luachonnhadat.vn,2024-05-22,25000000,80,NA,NA
"Cho thuê nhà Góc 2 MT đường Lê Quang Sung, P.6, Q.6, nhà 4 tấm, 4.12 x 12m, giá 32 triệu/tháng",32 Triệu/tháng,49 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-goc-2-mt-duong-le-quang-sung-p-6-q-6-nha-4-tam-4-12-x-12m-gia-32-trieu-thang.html,luachonnhadat.vn,2024-05-20,32000000,49,NA,NA
"Cho thuê nhà Góc 2 MT đường Số 78, P.10, Q.6, nhà 3.5 tấm, 6 x 16m, giá 23 triệu/tháng. khu Bình Phú",23 Triệu/tháng,96 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-goc-2-mt-duong-so-78-p-10-q-6-nha-3-5-tam-6-x-16m-gia-23-trieu-thang-khu-binh-phu.html,luachonnhadat.vn,2024-05-06,23000000,96,NA,NA
"Cho thuê nhà MT đường Số 1B, P. Bình Trị Đông, 4 x 20m, cấp 4, giá 10 triệu/tháng. khu Tên Lửa",10 Triệu/tháng,80 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-1b-p-binh-tri-dong-4-x-20m-cap-4-gia-10-trieu-thang-khu-ten-lua.html,luachonnhadat.vn,2024-04-23,10000000,80,NA,NA
"Cho thuê nhà MT đường Số 25, P.10, Q.6, nhà 4 tấm, 4.5 x 20m, giá 23 triệu/tháng. khu Bình Phú",25 Triệu/tháng,90 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-25-p-10-q-6-nha-4-tam-4-5-x-20m-gia-23-trieu-thang-khu-binh-phu.html,luachonnhadat.vn,2024-04-19,25000000,90,NA,NA
"Cho thuê nhà MT đường Số 7A, P. Bình Trị Đông B, 5 x 20m, 3.5 tấm, giá 28 triệu/tháng. gần Aeon Mall",28 Triệu/tháng,100 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-7a-p-binh-tri-dong-b-5-x-20m-3-5-tam-gia-28-trieu-thang-gan-aeon-mall.html,luachonnhadat.vn,2024-04-18,28000000,100,NA,NA
"Cho thuê nhà Hẻm 541 Tỉnh Lộ 10, P. Bình Trị Đông B, 4 x 13m, cấp 4, giá 8 triệu/tháng",8 Triệu/tháng,52 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-hem-541-tinh-lo-10-p-binh-tri-dong-b-4-x-13m-cap-4-gia-8-trieu-thang.html,luachonnhadat.vn,2024-04-16,8000000,52,NA,NA
"Cho thuê nhà Góc 2 MT đường Số 19, P. Bình Trị Đông B, 4.5 x 20m, 4.5 tấm, giá 40 triệu/tháng",40 Triệu/tháng,90 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-goc-2-mt-duong-so-19-p-bi-nh-tri-dong-b-4-5-x-20m-4-5-tam-gia-40-trieu-thang.html,luachonnhadat.vn,2024-04-13,40000000,90,NA,NA
"Cho thuê nhà MT đường Tỉnh Lộ 10, P. Bình Trị Đông, DT 9 x 25m, cấp 4, giá 75 triệu/tháng",70 Triệu/tháng,225 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-tinh-lo-10-p-binh-tri-dong-dt-9-x-25m-cap-4-gia-75-trieu-thang.html,luachonnhadat.vn,2024-04-11,70000000,225,NA,NA
"Cho thuê nhà MT đường Kinh Dương Vương, P.12, Q.6, DT 4 x 12m, 3.5 tấm, giá 25 triệu/tháng",25 Triệu/tháng,48 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-kinh-duong-vuong-p-12-q-6-dt-4-x-12m-3-5-tam-gia-25-trieu-thang.html,luachonnhadat.vn,2024-04-10,25000000,48,NA,NA
"Cho thuê nhà MT đường Trần Văn Giàu, P. Tân Tạo, 4.5 x 18m, 3 tấm, giá 18 triệu/tháng. gần Pouyuen",18 Triệu/tháng,81 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-tran-van-giau-p-tan-tao-4-5-x-18m-3-tam-gia-18-trieu-thang-gan-pouyuen.html,luachonnhadat.vn,2024-04-09,18000000,81,NA,NA
"Cho thuê nhà MT đường Số 7, P. An Lạc A, 6 x 20m, 3.5 tấm, giá 35 triệu/tháng. khu Tên Lửa",35 Triệu/tháng,120 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-7-p-an-lac-a-6-x-20m-3-5-tam-gia-35-trieu-thang-khu-ten-lua.html,luachonnhadat.vn,2024-04-08,35000000,120,NA,NA
"Cho thuê nhà MT đường Số 46, P. Tân Tạo, 10 x 18m, 3.5 tấm, giá 40 triệu/tháng. khu Tên Lửa Pouyuen",40 Triệu/tháng,180 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-46-p-tan-tao-10-x-18m-3-5-tam-gia-40-trieu-thang-khu-ten-lua-pouyuen.html,luachonnhadat.vn,2024-04-01,40000000,180,NA,NA
"Cho thuê đất Góc 2 MT đường Số 5, P. Bình Trị Đông B, 11 x 22m giá 25 triệu/tháng. khu Tên Lửa",25 Triệu/tháng,242 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Đất,thue,https://luachonnhadat.vn/nha-dat/cho-thue-dat-goc-2-mt-duong-so-5-p-binh-tri-dong-b-11-x-22m-gia-25-trieu-thang-khu-ten-lua.html,luachonnhadat.vn,2024-03-30,25000000,242,NA,NA
"Cho thuê nhà 2 MT đường Lê Tuấn Mậu, P.13, Q.6, nhà 2.5 tấm, 4.5 x 25m, giá 45 triệu/tháng",45 Triệu/tháng,112 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-2-mt-duong-le-tuan-mau-p-13-q-6-nha-2-5-tam-4-5-x-25m-gia-45-trieu-thang.html,luachonnhadat.vn,2024-03-30,45000000,112,NA,NA
"Cho thuê kho MT đường An Dương Vương, P.16, Q.8, nhà cấp 4, DT 12.5 x 62m, giá 76 triệu/tháng",76 Triệu/tháng,775 m²,"Quận 8, Hồ Chí Minh",Quận 8,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-kho-mt-duong-an-duong-vuong-p-16-q-8-nha-cap-4-dt-12-5-x-62m-gia-76-trieu-thang.html,luachonnhadat.vn,2024-03-22,76000000,775,NA,NA
"Cho thuê nhà MT đường Vành Đai Trong, P. Bình Trị Đông B, 6 x 20m, 3.5 tấm, giá 60 triệu/tháng",60 Triệu/tháng,120 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-vanh-dai-trong-p-binh-tri-dong-b-6-x-20m-3-5-tam-gia-60-trieu-thang.html,luachonnhadat.vn,2024-03-22,60000000,120,NA,NA
"Cho thuê nhà Hẻm 933 Tỉnh Lộ 10, P. Tân Tạo, 4 x 16m, 2 tấm, giá 15 triệu/tháng",15 Triệu/tháng,64 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-hem-933-tinh-lo-10-p-tan-tao-4-x-16m-2-tam-gia-15-trieu-thang.html,luachonnhadat.vn,2024-03-15,15000000,64,NA,NA
"Cho thuê nhà MT đường Phan Văn Khoẻ, P.5, Q.6, nhà 1 lầu, 3.5 x 18m, giá 20 triệu/tháng",20 Triệu/tháng,63 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-phan-van-khoe-p-5-q-6-nha-1-lau-3-5-x-18m-gia-20-trieu-thang.html,luachonnhadat.vn,2024-03-06,20000000,63,NA,NA
"Cho thuê nhà Góc 2 MT đường Bình Phú, P.11, Q.6, nhà 3 tấm, 9 x 3.5m, giá 25 triệu/tháng.",25 Triệu/tháng,31 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-goc-2-mt-duong-binh-phu-p-11-q-6-nha-3-tam-9-x-3-5m-gia-25-trieu-thang-.html,luachonnhadat.vn,2024-03-05,25000000,31,NA,NA
"Cho thuê nhà MT đường Phạm Văn Chí, P. 7, Q. 6, DT 5 x 16m, 3 tấm, giá 25 triệu/tháng",25 Triệu/tháng,80 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-pham-van-chi-p-7-q-6-dt-5-x-16m-3-tam-gia-25-trieu-thang.html,luachonnhadat.vn,2024-03-04,25000000,80,NA,NA
"Cho thuê nhà góc 2 MT đường Số 34, khu Tên Lửa, 5 x 20m, 4 tấm, giá 27 triệu/tháng. gần Aeon Mall",27 Triệu/tháng,100 m²,"Bình Tân, Hồ Chí Minh",Bình Tân,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-goc-2-mt-duong-so-34-khu-ten-lua-5-x-20m-4-tam-gia-27-trieu-thang-gan-aeon-mall.html,luachonnhadat.vn,2024-03-01,27000000,100,NA,NA
"Cho thuê nhà MT đường Số 12, P. 13, Q.6, nhà 3.5 tấm, 4 x 17m, giá 18.5 triệu/tháng. Cư xá Rada",18.5 Triệu/tháng,68 m²,"Quận 6, Hồ Chí Minh",Quận 6,Nhà phố,thue,https://luachonnhadat.vn/nha-dat/cho-thue-nha-mt-duong-so-12-p-13-q-6-nha-3-5-tam-4-x-17m-gia-18-5-trieu-thang-cu-xa-rada.html,luachonnhadat.vn,2024-02-28,18500000,68,NA,NA
