tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,phuong_xa,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
"Nhà đẹp cạnh bên ĐH RMIT, cầu Ông Lớn, hẻm xe hơi, 100m.2, 5x20m, 4 tầng, chỉ 8 t.ỷ",8 tỷ,100 m²,"Đường Nguyễn Văn Linh, Xã Bình Hưng, Hồ Chí Minh",Huyện Bình Chánh,Xã Bình Hưng,Nhà ở,ban,https://alonhadat.com.vn/nha-dep-canh-ben-dh-rmit-cau-ong-lon-hem-xe-hoi-100m-2-5x20m-4-tang-chi-8-t-y-18756858.html,alonhadat,4,8000000000,100,2026-06-07,,18756858,,
Hẻm C2 Phạm Hùng - Bình Hưng - Bình Chánh -DT: 3*11m – 2 tỷ 6,"2,6 tỷ",33 m²,"Đường Phạm Hùng, Xã Bình Hưng, Hồ Chí Minh",Huyện Bình Chánh,Xã Bình Hưng,Đất,ban,https://alonhadat.com.vn/hem-c2-pham-hung-binh-hung-binh-chanh-dt-3-11m-2-ty-6-18748007.html,alonhadat,2,2600000000,33,2026-06-07,,18748007,,
"Dì Tư Chính Chủ Gửi Bán Gấp Đất Sát MT Phạm Hùng - HXT Tránh - 200m2 - Giá 4,45 tỷ","4,45 tỷ",200 m²,"Đường Phạm Hùng, Xã Bình Hưng, Hồ Chí Minh",Huyện Bình Chánh,Xã Bình Hưng,Đất,ban,https://alonhadat.com.vn/di-tu-chinh-chu-gui-ban-gap-dat-sat-mt-pham-hung-hxt-tranh-200m2-gia-4-9-ty-18435025.html,alonhadat,1,4450000000,200,2026-06-07,,18435025,,
Bán gấp dãy trọ 6p + 1kiot KCN Tây Bắc Củ Chi 144m2 giá 1 tỷ 2 Sổ Hồng Riêng,"1,2 tỷ",144 m²,"Đường Quốc lộ 22, Xã Tân An Hội, Hồ Chí Minh",Huyện Củ Chi,Xã Tân An Hội,Mặt bằng,ban,https://alonhadat.com.vn/ban-gap-day-tro-6p-1kiot-kcn-tay-bac-cu-chi-144m2-gia-1-ty-2-so-hong-rieng-18555241.html,alonhadat,7,1200000000,144,2026-06-07,,18555241,,
Bán gấp dãy trọ 8p có gác KCN Tân Phú Trung Củ Chi 152m2 giá 930 triệu SHR,930 triệu,152 m²,"Đường số 95, Xã Củ Chi, Hồ Chí Minh",Huyện Củ Chi,Xã Tân Phú Trung,Nhà trọ,ban,https://alonhadat.com.vn/ban-gap-day-tro-8p-co-gac-kcn-tan-phu-trung-cu-chi-152m2-gia-930-trieu-shr-18499436.html,alonhadat,8,930000000,152,2026-06-07,,18499436,,
"Chủ gửi bán gấp dãy nhà trọ 10 phòng 1 kiot ,Tân Phú Trung, huyện Củ Chi giá 830 triệu",830 triệu,240 m²,"Xã Củ Chi, Hồ Chí Minh",Huyện Củ Chi,Xã Tân Phú Trung,Nhà trọ,ban,https://alonhadat.com.vn/chu-gui-ban-gap-day-nha-tro-10-phong-1-kiot-tan-phu-trung-huyen-cu-chi-gia-830-trieu-18006733.html,alonhadat,10,830000000,240,2026-06-07,,18006733,,
Bán dãy trọ 9p+1kiot bên KCN Tây Bắc Tân An Hội Củ Chi 240m2 sổ hồng riêng 850 triệu,850 triệu,240 m²,"Đường Nguyễn Thị Rành, Xã Tân An Hội, Hồ Chí Minh",Huyện Củ Chi,Xã Tân An Hội,Nhà trọ,ban,https://alonhadat.com.vn/ban-day-tro-9p-1kiot-ben-kcn-tay-bac-tan-an-hoi-cu-chi-240m2-so-hong-rieng-850-trieu-18569090.html,alonhadat,10,850000000,240,2026-06-07,,18569090,,
Nhà trong KDC Tân Phú Trung 1 sẹc đường Cây Da Củ Chi 102m2 chỉ 900trieu bán gấp SHR,900 triệu,102 m²,"Đường Cây Da, Xã Củ Chi, Hồ Chí Minh",Huyện Củ Chi,Xã Tân Phú Trung,Nhà ở,ban,https://alonhadat.com.vn/nha-trong-kdc-tan-phu-trung-1-sec-duong-cay-da-cu-chi-102m2-chi-900trieu-ban-gap-shr-18757720.html,alonhadat,2,900000000,102,2026-06-07,,18757720,,
"Bán nhà tại Cây Da 150m2 5x30, sổ hồng riêng, giá 1,1 tỷ","1,1 tỷ",150 m²,"Đường Cây Da, Xã Củ Chi, Hồ Chí Minh",Huyện Củ Chi,Xã Tân Phú Trung,Nhà ở,ban,https://alonhadat.com.vn/ban-nha-tai-cay-da-150m2-5x30-so-hong-rieng-gia-1-1-ty-18756042.html,alonhadat,2,1100000000,150,2026-06-07,,18756042,,
"Nhà riêng 3PN, 3WC, 136m2, 1,18 tỷ tại đường 12A, thị trấn Củ Chi, huyện Củ Chi, view đẹp","1,18 tỷ",136 m²,"Đường 12A, Xã Tân An Hội, Hồ Chí Minh",Huyện Củ Chi,Xã Tân An Hội,Nhà ở,ban,https://alonhadat.com.vn/nha-rieng-3pn-3wc-136m2-1-18-ty-tai-duong-12a-thi-tran-cu-chi-huyen-cu-chi-view-dep-18752892.html,alonhadat,3,1180000000,136,2026-06-07,,18752892,,
"Bán nhà cấp 4 cũ 1 sẹc đường 28, xã Tân Thông Hội Củ CHi - SỔ HỒNG RIÊNG",760 triệu,154 m²,"Đường số 28, Xã Củ Chi, Hồ Chí Minh",Huyện Củ Chi,Xã Tân Thông Hội,Nhà ở,ban,https://alonhadat.com.vn/ban-nha-cap-4-cu-1-sec-duong-28-xa-tan-thong-hoi-cu-chi-so-hong-rieng-18753370.html,alonhadat,2,760000000,154,2026-06-07,,18753370,,
970tr bán gấp nhà hẻm Tỉnh lộ 2 dt 5mx20m - sổ hồng riêng,970 triệu,100 m²,"Tỉnh Lộ 2, Xã Củ Chi, Hồ Chí Minh",Huyện Củ Chi,Xã Tân Phú Trung,Nhà ở,ban,https://alonhadat.com.vn/970tr-ban-gap-nha-hem-tinh-lo-2-dt-5mx20m-so-hong-rieng-18757361.html,alonhadat,2,970000000,100,2026-06-07,,18757361,,
Gấp! Bán nhà C4 đường Nguyễn Thị Bi 103m2 sổ hồng riêng giá 890 triệu,890 triệu,103 m²,"Xã Củ Chi, Hồ Chí Minh",Huyện Củ Chi,Xã Tân Phú Trung,Nhà ở,ban,https://alonhadat.com.vn/gap-ban-nha-c4-duong-nguyen-thi-bi-103m2-so-hong-rieng-gia-890-trieu-18712665.html,alonhadat,2,890000000,103,2026-06-07,,18712665,,
"BÁN CĂN NHÀ CẤP 4 TÂN THÔNG HỘI, CỦ CHI 980TRIEU 108m2 SỔ HỒNG RIÊNG",980 triệu,108 m²,"Đường Liêu Bình Hương, Xã Củ Chi, Hồ Chí Minh",Huyện Củ Chi,Xã Tân Thông Hội,Nhà ở,ban,https://alonhadat.com.vn/ban-can-nha-cap-4-tan-thong-hoi-cu-chi-980trieu-108m2-so-hong-rieng-18753292.html,alonhadat,2,980000000,108,2026-06-07,,18753292,,
"Cắt lỗ sâu căn nhà C4 rộng rãi ở ngay Tân Phú Trung, Củ Chi, 116m2 giá chỉ 1ty050trieu SHR","1,05 tỷ",116 m²,"Đường Bờ Kênh, Xã Củ Chi, Hồ Chí Minh",Huyện Củ Chi,Xã Tân Phú Trung,Nhà ở,ban,https://alonhadat.com.vn/cat-lo-sau-can-nha-c4-rong-rai-o-ngay-tan-phu-trung-cu-chi-116m2-gia-chi-1ty050trieu-shr-18753360.html,alonhadat,2,1050000000,116,2026-06-07,,18753360,,
Bán gấp nhà cấp 4 1 trệt 1 lửng xã Tân An Hội Củ Chi dt 170m2 giá rẻ chỉ 850tr,850 triệu,170 m²,"Đường Nguyễn Thị Chiên, Xã Tân An Hội, Hồ Chí Minh",Huyện Củ Chi,Xã Tân An Hội,Nhà ở,ban,https://alonhadat.com.vn/ban-gap-nha-cap-4-1-tret-1-lung-xa-tan-an-hoi-cu-chi-dt-170m2-gia-re-chi-850tr-18747370.html,alonhadat,3,850000000,170,2026-06-07,,18747370,,
"Nhà cấp 4 mới keng, SHR, 162,5m2, Xã Tân An Hội, Giá 865 triệu.",865 triệu,163 m²,"Đường Trần Thị Hải, Xã Tân An Hội, Hồ Chí Minh",Huyện Củ Chi,Xã Tân An Hội,Nhà ở,ban,https://alonhadat.com.vn/nha-cap-4-moi-keng-shr-162-5m2-xa-tan-an-hoi-gia-865-trieu--18757146.html,alonhadat,2,865000000,163,2026-06-07,,18757146,,
Bán Nhà Mặt Tiền Đường Tỉnh Lộ 7 Thích Hợp Kinh Doanh Giá 900TR,900 triệu,126 m²,"Tỉnh Lộ 7, Xã Thái Mỹ, Hồ Chí Minh",Huyện Củ Chi,Xã Thái Mỹ,Nhà ở,ban,https://alonhadat.com.vn/ban-nha-mat-tien-duong-tinh-lo-7-thich-hop-kinh-doanh-gia-900tr-18743673.html,alonhadat,2,900000000,126,2026-06-07,,18743673,,
Nhà cấp 4 mới dt 102m2 sổ hồng riêng 1 sẹc Nguyễn Thị Rành giá 830 triệu,830 triệu,102 m²,"Đường Nguyễn Thị Rành, Xã Tân An Hội, Hồ Chí Minh",Huyện Củ Chi,Xã Tân An Hội,Nhà ở,ban,https://alonhadat.com.vn/nha-cap-4-moi-dt-102m2-so-hong-rieng-1-sec-nguyen-thi-ranh-gia-830-trieu-18506656.html,alonhadat,2,830000000,102,2026-06-07,,18506656,,
Bán gấp nhà mặt tiền đường tỉnh lộ 7 dt126m2 chủ ngộp bán gấp giá 750tr,750 triệu,126 m²,"Tỉnh Lộ 7, Xã Thái Mỹ, Hồ Chí Minh",Huyện Củ Chi,Xã Thái Mỹ,Nhà ở,ban,https://alonhadat.com.vn/ban-gap-nha-mat-tien-duong-tinh-lo-7-dt126m2-chu-ngop-ban-gap-gia-750tr-18746523.html,alonhadat,2,750000000,126,2026-06-07,,18746523,,
"Bán đất tặng nhà nát đường Nguyễn Thị Triệu, TT Củ Chi, sổ riêng giá 750tr",750 triệu,173 m²,"Đường Nguyễn Thị Triệu, Xã Tân An Hội, Hồ Chí Minh",Huyện Củ Chi,Thị Trấn Củ Chi,Đất nền,ban,https://alonhadat.com.vn/ban-dat-tang-nha-nat-duong-nguyen-thi-trieu-tt-cu-chi-so-rieng-gia-750tr-18743439.html,alonhadat,1,750000000,173,2026-06-07,,18743439,,
"NGỘP BANK GIẢM 2,tỷ5 CHO NHÀĐẦU TƯ.GẤP BÁN BT Ven Sông gần Vinhomes Hóc Môn 600m2","13,5 tỷ",600 m²,"Đường Nguyễn Văn Bứa, Xã Vĩnh Lộc, Hồ Chí Minh",Huyện Hóc Môn,Xã Phạm Văn Hai,Biệt thự,ban,https://alonhadat.com.vn/ngop-bank-giam-2-ty5-cho-nhadau-tu-gap-ban-bt-ven-song-gan-vinhomes-hoc-mon-600m2-18721654.html,alonhadat,5,13500000000,600,2026-06-07,,18721654,,
"Gấp trước Tết. Mặt tiền kinh doanh Tân Hiệp, Hóc Môn. Căn góc 140m2 (9*16). Chỉ hơn 5 tỷ.","5,7 tỷ",140 m²,"Đường Tân Thới 2, Xã Hóc Môn, Hồ Chí Minh",Huyện Hóc Môn,Xã Tân Hiệp,Mặt bằng,ban,https://alonhadat.com.vn/gap-truoc-tet-mat-tien-kinh-doanh-tan-hiep-hoc-mon-can-goc-140m2-9-16-chi-hon-5-ty--18115159.html,alonhadat,5,5700000000,140,2026-06-07,,18115159,,
"📢📢📢 CHÍNH CHỦ CẦN BÁN GẤP NHÀ NGAY MẶT TIỀN ĐƯỜNG NGUYỄN THỊ BẢY, HÓC MÔN","13,6 tỷ",290 m²,"Xã Xuân Thới Sơn, Hồ Chí Minh",Huyện Hóc Môn,Xã Xuân Thới Đông,Nhà ở,ban,https://alonhadat.com.vn/chinh-chu-can-ban-gap-nha-ngay-mat-tien-duong-xuan-thoi-3-hoc-mon-14592565.html,alonhadat,5,13600000000,290,2026-06-07,,14592565,,
GIẢM HƠN 1 TỶ-NHÀ MẶT TIỀN KINH DOANH CỰC TỐT PHẠM THỊ GIÂY-120M2-TẢI TRÁNH THÔNG-HÓC MÔN,"8,9 tỷ",120 m²,"Đường Phạm Thị Giây, Xã Đông Thạnh, Hồ Chí Minh",Huyện Hóc Môn,Xã Đông Thạnh,Nhà ở,ban,https://alonhadat.com.vn/giam-hon-1-ty-nha-mat-tien-kinh-doanh-cuc-tot-pham-thi-giay-120m2-tai-tranh-thong-hoc-mon-18758966.html,alonhadat,3,8900000000,120,2026-06-07,,18758966,,
Nhà hẻm một sẹc BÀ TRIỆU HÓC MÔN 60m2 - 970tr sổ hồng riêng,970 triệu,60 m²,"Đường Bà Triệu, Xã Hóc Môn, Hồ Chí Minh",Huyện Hóc Môn,Xã Tân Xuân,Nhà ở,ban,https://alonhadat.com.vn/nha-hem-mot-sec-ba-trieu-hoc-mon-60m2-970tr-so-hong-rieng-18757178.html,alonhadat,1,970000000,60,2026-06-07,,18757178,,
"Nhà hẻm một sẹc Song hành 6mx10m - 1,1tỷ sổ hồng riêng","1,1 tỷ",60 m²,"Đường Song Hành, Xã Hóc Môn, Hồ Chí Minh",Huyện Hóc Môn,Xã Tân Hiệp,Nhà ở,ban,https://alonhadat.com.vn/nha-hem-mot-sec-song-hanh-6mx10m-1-1ty-so-hong-rieng-18757133.html,alonhadat,2,1100000000,60,2026-06-07,,18757133,,
🔥 TOẠ ĐỘ VÀNG TRUNG TÂM HÓC MÔN - SÁT MẶT TIỀN QUANG TRUNG - NGANG KHỦNG 12M HIẾM CÓ 🔥,14 tỷ,230 m²,"Đường Quang Trung, Xã Hóc Môn, Hồ Chí Minh",Huyện Hóc Môn,Xã Hóc Môn,Nhà ở,ban,https://alonhadat.com.vn/-toa-do-vang-trung-tam-hoc-mon-sat-mat-tien-quang-trung-ngang-khung-12m-hiem-co--18673105.html,alonhadat,1,14000000000,230,2026-06-07,,18673105,,
"Bán nhà gần 500m, đường nhựa ngã 3 Giòng, Hóc Môn, chỉ 9.x tỷ","9,98 tỷ",480 m²,"Đường Xuân Thới Thượng 1-2, Xã Bà Điểm, Hồ Chí Minh",Huyện Hóc Môn,Xã Xuân Thới Thượng,Nhà ở,ban,https://alonhadat.com.vn/ban-nha-gan-500m-duong-nhua-nga-3-giong-hoc-mon-chi-9-x-ty-18724793.html,alonhadat,2,9980000000,480,2026-06-07,,18724793,,
"Cần bán nhà Tô Ký, Hóc Môn 1 tỷ 9, 75m² sổ riêng.","1,9 tỷ",75 m²,"Đường Nguyễn Thị Sóc, Xã Bà Điểm, Hồ Chí Minh",Huyện Hóc Môn,Xã Bà Điểm,Nhà ở,ban,https://alonhadat.com.vn/can-ban-nha-to-ky-hoc-mon-1-ty-9-75m-so-rieng--18756150.html,alonhadat,4,1900000000,75,2026-06-07,,18756150,,
"Bán nhà Bà Triệu Hóc Môn 1tỷ980 68m², Sổ Riêng","1,98 tỷ",68 m²,"Đường Bà Triệu, Xã Hóc Môn, Hồ Chí Minh",Huyện Hóc Môn,Xã Hóc Môn,Nhà ở,ban,https://alonhadat.com.vn/ban-nha-ba-trieu-hoc-mon-1ty980-68m-so-rieng-18756216.html,alonhadat,2,1980000000,68,2026-06-07,,18756216,,
Cần tiền gấp bán nhanh nhà Nguyễn Thị Sóc Hóc Môn 2tỷ2 79m2 Sổ Riêng,"2,2 tỷ",79 m²,"Đường Nguyễn Thị Sóc, Xã Hóc Môn, Hồ Chí Minh",Huyện Hóc Môn,Xã Hóc Môn,Nhà ở,ban,https://alonhadat.com.vn/can-tien-gap-ban-nhanh-nha-nguyen-thi-soc-hoc-mon-2ty2-79m2-so-rieng-18756205.html,alonhadat,4,2200000000,79,2026-06-07,,18756205,,
"BÁN NHÀ MTKD NGUYỄN THỊ SÓC 122m2 CHỈ 8.9 TỶ, BÀ ĐIỂM, HÓC MÔN","8,9 tỷ",122 m²,"Đường Nguyễn Thị Sóc, Xã Bà Điểm, Hồ Chí Minh",Huyện Hóc Môn,Xã Bà Điểm,Nhà ở,ban,https://alonhadat.com.vn/ban-nha-mtkd-nguyen-thi-soc-122m2-chi-8-9-ty-ba-diem-hoc-mon-18438840.html,alonhadat,3,8900000000,122,2026-06-07,,18438840,,
"BÁN GẤP NHÀ 84m2 Ở SẸC THÁI THỊ GIỮ BÀ ĐIỂM HÓC MÔN, GIÁ 1TY120 TRIỆU, SỔ HỒNG RIÊNG ĐẦY Đ","1,12 tỷ",84 m²,"Đường Thái Thị Giữ, Xã Bà Điểm, Hồ Chí Minh",Huyện Hóc Môn,Xã Bà Điểm,Nhà ở,ban,https://alonhadat.com.vn/ban-gap-nha-84m2-o-sec-thai-thi-giu-ba-diem-hoc-mon-gia-1ty120-trieu-so-hong-rieng-day-d-18757731.html,alonhadat,2,1120000000,84,2026-06-07,,18757731,,
Sang nhượng nhà xưởng lê văn khương đông thạnh. Hóc Môn,"8,2 tỷ",305 m²,"Đường Lê Văn Khương, Xã Đông Thạnh, Hồ Chí Minh",Huyện Hóc Môn,Xã Đông Thạnh,Nhà ở,ban,https://alonhadat.com.vn/sang-nhuong-nha-xuong-le-van-khuong-hoc-mon-305m-18757034.html,alonhadat,3,8199999999.999999,305,2026-06-07,,18757034,,
"Bán gấp nhà Trung Chánh, HÓc Môn. 190m2. Chỉ 4,1 tỷ. Sổ đang vay Bank.","4,1 tỷ",190 m²,"Đường ấp Mỹ Hòa 1, Xã Bà Điểm, Hồ Chí Minh",Huyện Hóc Môn,Xã Trung Chánh,Nhà ở,ban,https://alonhadat.com.vn/ban-gap-nha-trung-chanh-hoc-mon-190m2-chi-4-1-ty-so-dang-vay-bank--18097234.html,alonhadat,3,4099999999.9999995,190,2026-06-07,,18097234,,
"NGANG HIẾM HƠN 6M-MẶT TIỀN KINH DOANH TỐT ĐẶNG THÚC VỊNH-NỞ HẬU TÀI LỘC-CHỈ 13,9 TỶ","13,999 tỷ",265 m²,"Đường Đặng Thúc Vịnh, Xã Đông Thạnh, Hồ Chí Minh",Huyện Hóc Môn,Xã Đông Thạnh,Nhà ở,ban,https://alonhadat.com.vn/ngang-hiem-hon-6m-mat-tien-kinh-doanh-tot-dang-thuc-vinh-no-hau-tai-loc-chi-13-9-ty-18578574.html,alonhadat,4,13999000000,265,2026-06-07,,18578574,,
"Nhà đang cho thuê cần bán 2tỷ1 Trần Văn Mười, Xuân Thới Sơn 77m2 Sổ riêng","2,1 tỷ",77 m²,"Đường Trần Văn Mười, Xã Xuân Thới Sơn, Hồ Chí Minh",Huyện Hóc Môn,Xã Xuân Thới Sơn,Nhà ở,ban,https://alonhadat.com.vn/nha-dang-cho-thue-can-ban-2ty1-tran-van-muoi-xuan-thoi-son-77m2-so-rieng-18756260.html,alonhadat,3,2100000000,77,2026-06-07,,18756260,,
SIÊU PHẨM NHÀ PHỐ FULL NỘI THẤT CAO CẤP BÀ ĐIỂM-CHỈ 3.5 tỏi,"3,5 tỷ",70 m²,"Đường Xuân Thới Thượng 7, Xã Bà Điểm, Hồ Chí Minh",Huyện Hóc Môn,Xã Bà Điểm,Nhà ở,ban,https://alonhadat.com.vn/sieu-pham-nha-pho-full-noi-that-cao-cap-ba-diem-chi-3-8-18449580.html,alonhadat,2,3500000000,70,2026-06-07,,18449580,,
"Nhà Song Hành, Hóc Môn, sổ hồng riêng, hoàn công, 4x10=40m2, trệt lửng 1.3 tỷ","1,3 tỷ",52 m²,"Đường Song Hành, Xã Hóc Môn, Hồ Chí Minh",Huyện Hóc Môn,Xã Tân Hiệp,Đất,ban,https://alonhadat.com.vn/nha-song-hanh-hoc-mon-so-hong-rieng-hoan-cong-4x10-40m2-tret-lung-1-3-ty-18756026.html,alonhadat,2,1300000000,52,2026-06-07,,18756026,,
"Nhà mặt tiền Đặng Thúc Vịnh-Thới Tam Thôn-Hóc Môn.Dt 16x20~330m2~20,5ty","20,5 tỷ",330 m²,"Đường Đặng Thúc Vịnh, Xã Đông Thạnh, Hồ Chí Minh",Huyện Hóc Môn,Xã Thới Tam Thôn,Đất,ban,https://alonhadat.com.vn/nha-mat-tien-dang-thuc-vinh-thoi-tam-thon-hoc-mon-dt-16x20-330m2-20-5ty-18753267.html,alonhadat,2,20500000000,330,2026-06-07,,18753267,,
Bán đất (5x20) tặng dãy trọ ngay 1 xẹc Nguyễn Thị Ngâu Hóc Môn giá 900 triệu,900 triệu,169 m²,"Đường Nguyễn Thị Ngâu, Xã Đông Thạnh, Hồ Chí Minh",Huyện Hóc Môn,Xã Thới Tam Thôn,Đất,ban,https://alonhadat.com.vn/ban-dat-5x20-tang-day-tro-ngay-1-xec-nguyen-thi-ngau-hoc-mon-gia-900-trieu-16498439.html,alonhadat,6,900000000,169,2026-06-07,,16498439,,
Nhà Trệt Lửng 4 P.Ngủ _ DT 5m x 13m _ Sổ Hồng Riêng _ Vị Trí Ngay Chợ,"2,95 tỷ",65 m²,"Đường Huỳnh Tấn Phát, Xã Nhà Bè, Hồ Chí Minh",Huyện Nhà Bè,Xã Phú Xuân,Nhà ở,ban,https://alonhadat.com.vn/nha-tret-lung-4-p-ngu-dt-5m-x-13m-so-hong-rieng-vi-tri-ngay-cho-18757452.html,alonhadat,4,2950000000,65,2026-06-07,,18757452,,
Bán Nhà Chính Chủ 3 Tầng 4 P.Ngủ - Sổ Riêng - Chưa Qua Người Kinh Doanh,"3,95 tỷ",50 m²,"Đường Huỳnh Tấn Phát, Xã Nhà Bè, Hồ Chí Minh",Huyện Nhà Bè,Xã Nhà Bè,Nhà ở,ban,https://alonhadat.com.vn/ban-nha-chinh-chu-3-tang-4-p-ngu-so-rieng-chua-qua-nguoi-kinh-doanh-18514365.html,alonhadat,3,3950000000,50,2026-06-07,,18514365,,
Nhà Xây Mới Đẹp _ 1 Trệt 1 Lầu _ Tại Trung Tâm Thị Trấn Nhà Bè,"1,5 tỷ",35 m²,"Đường Huỳnh Tấn Phát, Xã Nhà Bè, Hồ Chí Minh",Huyện Nhà Bè,Xã Nhà Bè,Nhà ở,ban,https://alonhadat.com.vn/nha-xay-moi-dep-1-tret-1-lau-tai-trung-tam-thi-tran-nha-be-18757492.html,alonhadat,2,1500000000,35,2026-06-07,,18757492,,
"Nhà Trệt Lầu 3 P.Ngủ, Xây Mới Đẹp _ DT 62m2 _ Sổ Hồng Riêng, Hoàn Công Đủ","4,59 tỷ",62 m²,"Đường Huỳnh Tấn Phát, Xã Nhà Bè, Hồ Chí Minh",Huyện Nhà Bè,Xã Nhà Bè,Nhà ở,ban,https://alonhadat.com.vn/nha-tret-lau-3-p-ngu-xay-moi-dep-dt-62m2-so-hong-rieng-hoan-cong-du-18757508.html,alonhadat,3,4590000000,62,2026-06-07,,18757508,,
